trade_id,entry_time,exit_time,duration_minutes,position_type,entry_price,exit_price,return_pct,gross_pnl_pct,commission_pct,net_pnl_pct,is_winner,cumulative_pnl_pct,cumulative_commission_pct,running_win_rate,running_portfolio_value
1,2021-08-10 23:59:59.999,2021-09-07 15:14:59.999,39795.0,SHORT,45584.99,45859.85,-0.5993477955117615,-0.5993477955117615,0.2,-0.7993477955117616,False,-0.7993477955117616,0.2,0.0,1.0013403053534147
2,2021-09-07 15:14:59.999,2021-09-20 03:59:59.999,18045.0,LONG,45859.85,45542.76,-0.6914327020258386,-0.6914327020258386,0.2,-0.8914327020258385,False,-1.6907804975376002,0.4,0.0,1.0012207623887848
3,2021-09-20 03:59:59.999,2021-09-21 00:54:59.999,1255.0,SHORT,45542.76,41657.24,9.327358221524047,9.327358221524047,0.2,9.127358221524046,True,7.436577723986446,0.6000000000000001,33.33333333333333,0.9969219579855608
4,2021-09-21 00:54:59.999,2021-09-24 09:14:59.999,4820.0,LONG,41657.24,43496.89,4.416159111837466,4.416159111837466,0.2,4.216159111837466,True,11.652736835823912,0.8,50.0,0.9971843518841097
5,2021-09-24 09:14:59.999,2021-09-26 11:09:59.999,2995.0,SHORT,43496.89,43142.01,0.8225856885203016,0.8225856885203016,0.2,0.6225856885203015,True,12.275322524344213,1.0,60.0,1.0022456187495006
6,2021-09-26 11:09:59.999,2021-10-01 10:34:59.999,7165.0,LONG,43142.01,46817.13,8.518657336549678,8.518657336549678,0.2,8.318657336549677,True,20.59397986089389,1.2,66.66666666666666,0.9998097616430289
7,2021-10-01 10:34:59.999,2021-10-06 13:19:59.999,7365.0,SHORT,46817.13,54279.21,-13.747584019737946,-13.747584019737946,0.2,-13.947584019737945,False,6.646395841155943,1.4,57.14285714285714,0.9961905170348835
8,2021-10-06 13:19:59.999,2021-10-08 13:59:59.999,2920.0,LONG,54279.21,54178.99,-0.18463791201088073,-0.18463791201088073,0.2,-0.3846379120108807,False,6.2617579291450625,1.5999999999999999,50.0,0.998065100600096
9,2021-10-08 13:59:59.999,2021-10-28 18:44:59.999,29085.0,SHORT,54178.99,59153.46,-8.409432009556163,-8.409432009556163,0.2,-8.609432009556164,False,-2.3476740804111014,1.7999999999999998,44.44444444444444,0.9958254166656644
10,2021-10-28 18:44:59.999,2021-11-08 01:19:59.999,14795.0,LONG,59153.46,65148.72,10.135096070458097,10.135096070458097,0.2,9.935096070458096,True,7.587421990046995,1.9999999999999998,50.0,0.9949579619306719
11,2021-11-08 01:19:59.999,2021-11-10 21:34:59.999,4095.0,SHORT,65148.72,65193.26,-0.06831994595760493,-0.06831994595760493,0.2,-0.26831994595760494,False,7.31910204408939,2.1999999999999997,45.45454545454545,0.9959458527739226
12,2021-11-10 21:34:59.999,2021-11-12 11:29:59.999,2275.0,LONG,65193.26,63954.62,-1.8999510072053452,-1.8999510072053452,0.2,-2.099951007205345,False,5.219151036884044,2.4,41.66666666666667,0.9958025523404508
13,2021-11-12 11:29:59.999,2021-11-16 12:04:59.999,5795.0,SHORT,63954.62,60457.15,5.785039486644675,5.785039486644675,0.2,5.585039486644675,True,10.80419052352872,2.6,46.15384615384615,0.9980972565774678
14,2021-11-16 12:04:59.999,2021-11-19 00:59:59.999,3655.0,LONG,60457.15,57486.87,-4.913033446002663,-4.913033446002663,0.2,-5.113033446002663,False,5.691157077526056,2.8000000000000003,42.857142857142854,0.9976896634144566
15,2021-11-19 00:59:59.999,2021-12-04 05:54:59.999,21895.0,SHORT,57486.87,47167.44,21.878291465468553,21.878291465468553,0.2,21.67829146546855,True,27.369448542994608,3.0000000000000004,46.666666666666664,0.9991540869753713
16,2021-12-04 05:54:59.999,2021-12-17 15:14:59.999,19280.0,LONG,47167.44,45704.32,-3.101970342253051,-3.101970342253051,0.2,-3.3019703422530506,False,24.067478200741558,3.2000000000000006,43.75,0.9969950738517219
17,2021-12-17 15:14:59.999,2022-01-10 16:04:59.999,34610.0,SHORT,45704.32,40941.41,11.633478182602886,11.633478182602886,0.2,11.433478182602885,True,35.500956383344445,3.400000000000001,47.05882352941176,0.9963768736462093
18,2022-01-10 16:04:59.999,2022-01-21 01:44:59.999,14980.0,LONG,40941.41,40015.36,-2.2618908337548778,-2.2618908337548778,0.2,-2.4618908337548775,False,33.039065549589566,3.600000000000001,44.44444444444444,0.9936144060261732
19,2022-01-21 01:44:59.999,2022-01-22 00:34:59.999,1370.0,SHORT,40015.36,36593.36,9.35142331832879,9.35142331832879,0.2,9.15142331832879,True,42.190488867918354,3.800000000000001,47.368421052631575,0.9951814800731643
20,2022-01-22 00:34:59.999,2022-02-04 17:39:59.999,19745.0,LONG,36593.36,40404.13,10.413829175566269,10.413829175566269,0.2,10.21382917556627,True,52.40431804348462,4.000000000000001,50.0,0.9964581949254363
