id,name,display_name,state,url,path,tags,notes,created_at,updated_at,heartbeat_at,runtime,user,job_type,sweep_id,config_data_name,config_loss,config_norm,config_model_name,config_model_dropout,config_model_cell_type,config_model_optimizer,config_model_num_layers,config_model_hidden_size,config_model_learning_rate,config_fields_target,config_fields_group_ids,config_fields_static_cat,config_fields_time_index,config_fields_static_real,config_fields_dynamic_known_cat,config_fields_dynamic_known_real,config_fields_dynamic_unknown_cat,config_fields_dynamic_unknown_real,config_target,config_dropout,config_x_reals,config_training_batch_size,config_training_max_epochs,config_cell_type,config_optimizer,config_rnn_layers,config_hidden_size,config_output_size,config_past_window,config_log_interval,config_static_reals,config_weight_decay,config_future_window,config_learning_rate,config_x_categoricals,config_logging_metrics,config_log_val_interval,config_optimizer_params,config_log_gradient_flow,config_embedding_paddings,config_output_transformer,config_decoder_hidden_size,config_static_categoricals,config_cont_input_projection,config_reduce_on_plateau_min_lr,config_reduce_on_plateau_patience,config_time_varying_reals_decoder,config_time_varying_reals_encoder,config_reduce_on_plateau_reduction,config_time_varying_categoricals_decoder,config_time_varying_categoricals_encoder,summary__runtime,summary__step,summary__timestamp,summary__wandb,summary_epoch,summary_train_loss_epoch,summary_train_loss_step,summary_trainer/global_step,summary_val_MAE,summary_val_RMSE,summary_val_loss,sweep_id_clean,is_sweep_run,is_finished,has_val_loss,timeframe,loss_function,is_5m_gmadl,is_true_5m,is_true_5m_gmadl,summary_Returns MAE,summary_Returns RMSE,config_model_cont_input_projection,config_data_fields_target,config_data_fields_group_ids,config_data_fields_static_cat,config_data_fields_time_index,config_data_fields_static_real,config_data_fields_dynamic_known_cat,config_data_fields_dynamic_known_real,config_data_fields_dynamic_unknown_cat,config_data_fields_dynamic_unknown_real,config_data_dataset,config_data_validation,config_data_sliding_window,config_loss_a,config_loss_b,config_loss_name,config_model_attention_head_size,config_model_hidden_continuous_size,config_batch_size,config_max_epochs,config_lstm_layers,config_embedding_sizes_hour,config_embedding_sizes_weekday,config_causal_attention,config_embedding_labels_hour_0,config_embedding_labels_hour_1,config_embedding_labels_hour_2,config_embedding_labels_hour_3,config_embedding_labels_hour_4,config_embedding_labels_hour_5,config_embedding_labels_hour_6,config_embedding_labels_hour_7,config_embedding_labels_hour_8,config_embedding_labels_hour_9,config_embedding_labels_hour_10,config_embedding_labels_hour_11,config_embedding_labels_hour_12,config_embedding_labels_hour_13,config_embedding_labels_hour_14,config_embedding_labels_hour_15,config_embedding_labels_hour_16,config_embedding_labels_hour_17,config_embedding_labels_hour_18,config_embedding_labels_hour_19,config_embedding_labels_hour_20,config_embedding_labels_hour_21,config_embedding_labels_hour_22,config_embedding_labels_hour_23,config_embedding_labels_weekday_0,config_embedding_labels_weekday_1,config_embedding_labels_weekday_2,config_embedding_labels_weekday_3,config_embedding_labels_weekday_4,config_embedding_labels_weekday_5,config_embedding_labels_weekday_6,config_max_encoder_length,config_attention_head_size,config_hidden_continuous_size,config_share_single_variable_networks,config_loss_quantiles,config_model_d_model,config_model_n_decoder_layers,config_model_n_encoder_layers,config_model_d_fully_connected,config_model_n_attention_heads,config_distil,config_factor,config_d_model,config_activation,config_mix_attention,config_attention_type,config_n_decoder_layers,config_n_encoder_layers,config_output_attention,config_d_fully_connected,config_n_attention_heads,config_model_dmodel,config_model_distill,config_model_attention_type
hp3hlh9g,breezy-snowflake-438,breezy-snowflake-438,finished,https://wandb.ai/filipstefaniuk/wne-masters-thesis-testing/runs/hp3hlh9g,"[""filipstefaniuk"", ""wne-masters-thesis-testing"", ""hp3hlh9g""]",,,2024-07-06T13:12:33Z,,2024-07-06T13:12:44Z,,<User filipstefaniuk>,eval,,btcusdt-tiny-1h:latest,"[{""name"": ""MSE""}]",True,RNN,0.0,LSTM,Adam,2.0,32.0,0.001,"[""Returns""]","[""Series ID""]",,Time Index,,,,,"[""Returns""]",,0.0,"[""Returns""]",32.0,10000.0,LSTM,Adam,2.0,32.0,[1],4.0,-1.0,,0.0,1.0,0.001,,"[""MAE()"", ""RMSE()""]",-1.0,,False,,,,,32.0,1e-05,1000.0,,"[""Returns""]",2.0,,,,,,{'runtime': 4},,,,,,,,,False,True,False,1h,unknown,False,False,False,0.0014529450563713908,0.0022677870001643896,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9jkeh8g9,glorious-rain-439,glorious-rain-439,failed,https://wandb.ai/filipstefaniuk/wne-masters-thesis-testing/runs/9jkeh8g9,"[""filipstefaniuk"", ""wne-masters-thesis-testing"", ""9jkeh8g9""]",,,2024-07-08T16:54:13Z,,2024-07-08T16:54:31Z,,<User filipstefaniuk>,train,,btcusdt-tiny-1h:latest,"[{""name"": ""MAE""}]",,RNN,,LSTM,Adam,1.0,,0.001,"[""Returns""]","[""Series ID""]",,Time Index,,,,,"[""Returns""]",,,,16.0,1.0,,,,,,8.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,{'runtime': 11},,,,,,,,,False,False,False,1h,unknown,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kb6gsul1,earthy-puddle-440,earthy-puddle-440,failed,https://wandb.ai/filipstefaniuk/wne-masters-thesis-testing/runs/kb6gsul1,"[""filipstefaniuk"", ""wne-masters-thesis-testing"", ""kb6gsul1""]",,,2024-07-08T16:57:01Z,,2024-07-08T16:57:19Z,,<User filipstefaniuk>,train,,btcusdt-tiny-1h:latest,"[{""name"": ""MAE""}]",,RNN,,LSTM,Adam,1.0,32.0,0.001,"[""Returns""]","[""Series ID""]",,Time Index,,,,,"[""Returns""]",,,,32.0,1.0,,,,,,8.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,{'runtime': 11},,,,,,,,,False,False,False,1h,unknown,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ld88s8mf,fine-cherry-441,fine-cherry-441,finished,https://wandb.ai/filipstefaniuk/wne-masters-thesis-testing/runs/ld88s8mf,"[""filipstefaniuk"", ""wne-masters-thesis-testing"", ""ld88s8mf""]",,,2024-07-08T16:57:38Z,,2024-07-08T16:58:16Z,,<User filipstefaniuk>,train,,btcusdt-tiny-1h:latest,"[{""name"": ""MAE""}]",True,RNN,0.0,LSTM,Adam,1.0,32.0,0.001,"[""Returns""]","[""Series ID""]",,Time Index,,,,,"[""Returns""]",,0.0,"[""Returns""]",32.0,1.0,LSTM,Adam,1.0,32.0,[1],8.0,-1.0,,0.0,1.0,0.001,,"[""MAE()"", ""RMSE()""]",-1.0,,False,,,,,,1e-05,1000.0,,"[""Returns""]",2.0,,,30.904013872146606,2.0,1720457889.3059998,{'runtime': 31},1.0,0.01450339239090681,,12.0,0.001767001231200993,0.0019404871854931116,0.001767001231200993,,False,True,True,1h,unknown,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ejye1zgw,glowing-disco-442,glowing-disco-442,failed,https://wandb.ai/filipstefaniuk/wne-masters-thesis-testing/runs/ejye1zgw,"[""filipstefaniuk"", ""wne-masters-thesis-testing"", ""ejye1zgw""]",,,2024-07-08T17:00:32Z,,2024-07-08T17:08:35Z,,<User filipstefaniuk>,train,,btcusdt-tiny-1h:latest,"[{""name"": ""MAE""}]",True,RNN,0.0,LSTM,Adam,1.0,32.0,0.001,"[""Returns""]","[""Series ID""]",,Time Index,,,,,"[""Returns""]",,0.0,"[""Returns""]",32.0,3000.0,LSTM,Adam,1.0,32.0,[1],8.0,-1.0,,0.0,1.0,0.001,,"[""MAE()"", ""RMSE()""]",-1.0,,False,,,,,,1e-05,1000.0,,"[""Returns""]",2.0,,,471.4315736293793,3138.0,1720458504.0951636,{'runtime': 476},1523.0,0.0015272492310032248,0.0009913082467392087,18287.0,0.0006598806940019131,0.000978938303887844,0.0006598806940019131,,False,False,True,1h,unknown,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
m3c68l39,exalted-forest-443,exalted-forest-443,finished,https://wandb.ai/filipstefaniuk/wne-masters-thesis-testing/runs/m3c68l39,"[""filipstefaniuk"", ""wne-masters-thesis-testing"", ""m3c68l39""]",,,2024-07-08T17:09:31Z,,2024-07-08T17:09:42Z,,<User filipstefaniuk>,eval,,btcusdt-tiny-1h:latest,"[{""name"": ""MAE""}]",True,RNN,0.0,LSTM,Adam,1.0,32.0,0.001,"[""Returns""]","[""Series ID""]",,Time Index,,,,,"[""Returns""]",,0.0,"[""Returns""]",32.0,3000.0,LSTM,Adam,1.0,32.0,[1],8.0,-1.0,,0.0,1.0,0.001,,"[""MAE()"", ""RMSE()""]",-1.0,,False,,,,,,1e-05,1000.0,,"[""Returns""]",2.0,,,,,,{'runtime': 4},,,,,,,,,False,True,False,1h,unknown,False,False,False,0.001459815772250295,0.002278981963172555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tjh5h3wt,happy-lake-444,happy-lake-444,finished,https://wandb.ai/filipstefaniuk/wne-masters-thesis-testing/runs/tjh5h3wt,"[""filipstefaniuk"", ""wne-masters-thesis-testing"", ""tjh5h3wt""]",,,2024-07-08T17:11:52Z,,2024-07-08T17:12:12Z,,<User filipstefaniuk>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{'runtime': 11},,,,,,,,,False,True,False,unknown,unknown,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zj56xm8g,stilted-sky-445,stilted-sky-445,failed,https://wandb.ai/filipstefaniuk/wne-masters-thesis-testing/runs/zj56xm8g,"[""filipstefaniuk"", ""wne-masters-thesis-testing"", ""zj56xm8g""]",,,2024-07-08T17:13:21Z,,2024-07-08T17:26:19Z,,<User filipstefaniuk>,train,,btcusdt-tiny-1h:latest,"[{""name"": ""MAE""}]",True,RNN,0.0,LSTM,Adam,1.0,32.0,0.0001,"[""Returns""]","[""Series ID""]",,Time Index,,,,,"[""Returns""]",,0.0,"[""Returns""]",16.0,5000.0,LSTM,Adam,1.0,32.0,[1],8.0,-1.0,,0.0,1.0,0.0001,,"[""MAE()"", ""RMSE()""]",-1.0,,False,,,,,,1e-05,1000.0,,"[""Returns""]",2.0,,,769.5634801387787,7145.0,1720459570.984852,{'runtime': 774},3537.0,0.0015186117962002754,0.001304524135775864,14151.0,0.0006234334432519972,0.0007306374609470367,0.0006234334432519972,,False,False,True,1h,unknown,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lfcshsso,ethereal-bird-446,ethereal-bird-446,finished,https://wandb.ai/filipstefaniuk/wne-masters-thesis-testing/runs/lfcshsso,"[""filipstefaniuk"", ""wne-masters-thesis-testing"", ""lfcshsso""]",,,2024-07-08T17:28:14Z,,2024-07-08T17:42:22Z,,<User filipstefaniuk>,train,,btcusdt-tiny-1h:latest,"[{""name"": ""MSE""}]",True,RNN,0.0,LSTM,Adam,1.0,256.0,0.001,"[""Returns""]","[""Series ID""]",,Time Index,,,,,"[""Returns""]",,0.0,"[""Returns""]",32.0,5000.0,LSTM,Adam,1.0,256.0,[1],8.0,-1.0,,0.0,1.0,0.001,,"[""MAE()"", ""RMSE()""]",-1.0,,False,,,,,8.0,1e-05,1000.0,,"[""Returns""]",2.0,,,842.4905033111572,8072.0,1720460536.2644682,{'runtime': 841},4016.0,5.16004456585506e-06,2.4812995889078593e-06,8032.0,0.0007094170432537794,0.0008268514648079872,6.836833676970855e-07,,False,True,True,1h,unknown,False,False,False,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6ep90cpb,spring-sound-447,spring-sound-447,finished,https://wandb.ai/filipstefaniuk/wne-masters-thesis-testing/runs/6ep90cpb,"[""filipstefaniuk"", ""wne-masters-thesis-testing"", ""6ep90cpb""]",,,2024-07-08T17:42:48Z,,2024-07-08T17:42:59Z,,<User filipstefaniuk>,eval,,btcusdt-tiny-1h:latest,"[{""name"": ""MSE""}]",True,RNN,0.0,LSTM,Adam,1.0,256.0,0.001,"[""Returns""]","[""Series ID""]",,Time Index,,,,,"[""Returns""]",,0.0,"[""Returns""]",32.0,5000.0,LSTM,Adam,1.0,256.0,[1],8.0,-1.0,,0.0,1.0,0.001,,"[""MAE()"", ""RMSE()""]",-1.0,,False,,,,,8.0,1e-05,1000.0,,"[""Returns""]",2.0,,,,,,{'runtime': 4},,,,,,,,,False,True,False,1h,unknown,False,False,False,0.0015435555251315236,0.002191664883866906,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
